Aar,KPI,Inflasjon,Befolkning,Arbeidsstyrke
2014,71.1,2.15517241379311,5109056,2723000
2015,72.6,2.10970464135021,5165802,2764000
2016,75.2,3.58126721763086,5213985,2769000
2017,76.6,1.86170212765957,5258317,2764000
2018,78.7,2.74151436031334,5295619,2802000
2019,80.4,2.16010165184244,5328212,2830000
2020,81.5,1.3681592039801,5367580,2841000
2021,84.3,3.43558282208589,5391369,2903000
2022,89.2,5.81257413997629,5425270,2945000
2023,94.1,5.4932735426009,5488984,2984000
2024,97.1,3.18809776833156,5550203,3009000
2025,100,2.98661174047374,5594340,3039000
